ean,desc,marca,rubro,cat,slot,cad,prov,suc,precio,Popular,Media,Ejecutiva,Tecnológica,Representativa,Femenina
7798115593090,Caloventor Fh801 2000 W Blanco Protalia 1 Un,Protalia,Climatización,Calefacción,Ventilador/caloventor,5,24,204,49900.0,0.0,0.0,0.0,1.0,0.0,0.0
7502271278278,Cocina Multigas Cd5602Ab0 Drean 1 Un,Drean,Cocinas y Hornos,Cocinas,Cocina,4,24,247,699999.0,0.0,0.0,0.0,1.0,0.0,0.0
7796885495194,Hornos Microondas 20Lt Blanco 700 W Bgh 1 Un,Bgh,Cocinas y Hornos,Microondas,Microondas,5,24,322,244999.0,0.0,0.0,0.0,1.0,0.0,0.0
7790670050650,Hamburguesas de Carne Clásicas sin TACC Paty 4 Un 320 Gr,Paty,Congelados,Hamburguesas,Hamburguesas cong.,5,24,2495,9150.0,1.0,2.0,3.0,0.0,2.0,0.0
7790174001349,Milanesa de Soja Tradicional Vegetalex 4 Un,Vegetalex,Congelados,Milanesas de Soja,Milanesas/nuggets pollo cong.,5,24,2009,4789.0,1.0,0.0,0.0,0.0,0.0,0.0
7790070034410,Nuggets de Pollo Bolsa Granja Del Sol 400 Gr,Granja Del Sol,Congelados,Prefritos,Milanesas/nuggets pollo cong.,5,24,2360,10864.400390625,0.0,1.0,1.0,0.0,1.0,0.0
7790070036278,Espinaca Congelada Granja Del Sol 500 Gr,Granja Del Sol,Congelados,Vegetales,Vegetales congelados,5,24,2341,5599.0,0.0,1.0,2.0,0.0,1.0,0.0
7791451071000,Dulce de Batata con Vainilla Esnaola 500 Gr,Esnaola,Frescos,Fiambrería,Dulce batata/membrillo,5,24,2073,3360.0,1.0,0.0,0.0,0.0,0.5,0.0
7790079022593,Jamon Cocido Fetas Finas Paladini 200 Gr,Paladini,Frescos,Fiambrería,Jamon cocido env.,5,24,1538,7298.27197265625,2.0,0.0,0.0,0.0,0.0,0.0
7798013102875,Jamón Cocido Genuino Cagnoli 120 Gr,Cagnoli,Frescos,Fiambrería,Jamon cocido env.,5,24,1988,5190.0,0.0,3.0,4.0,0.0,3.0,0.0
7790079001031,Mortadela Mini Paladini 300 Gr,Paladini,Frescos,Fiambrería,Fiambre env. (salame/mortadela),5,24,2104,4885.0,0.0,1.0,0.0,0.0,1.0,0.0
7794990880225,Queso Dambo en Fetas La Paulina 180 Gr,La Paulina,Frescos,Fiambrería,Queso en fetas/env.,4,24,1109,5455.0,0.0,0.0,2.0,0.0,0.0,0.0
7790742373304,Queso Light Finlandia 290 Gr,Finlandia,Frescos,Fiambrería,Queso untable,5,24,2310,5479.0,0.0,0.0,3.0,0.0,0.0,0.0
7790398100132,Queso Rallado La Paulina 150 Gr,La Paulina,Frescos,Fiambrería,Queso rallado,5,24,2106,6159.0,0.0,1.0,0.0,0.0,1.0,0.0
7790742222909,Queso Rallado La Serenisima 35 Gr,La Serenisima,Frescos,Fiambrería,Queso rallado,5,24,2194,1832.75,0.0,0.0,2.0,0.0,0.0,0.0
7794990880232,Queso Tybo en Feta La Paulina 180 Gr,La Paulina,Frescos,Fiambrería,Queso en fetas/env.,4,24,2002,5145.0,0.0,1.0,0.0,0.0,1.0,0.0
7798060852990,Queso Untable Jamón Tonadita 180 Gr,Tonadita,Frescos,Fiambrería,Queso untable,5,24,2320,2699.0,2.0,0.0,0.0,0.0,0.0,0.0
7791337061439,Queso Untable Light La Serenisima 290 Gr,La Serenisima,Frescos,Fiambrería,Queso untable,5,24,2325,4135.0,0.0,2.0,0.0,0.0,2.0,0.0
7798013100697,Salame Tandilero Tipo Fuet en Pieza Cagnoli 150 Gr,Cagnoli,Frescos,Fiambrería,Fiambre env. (salame/mortadela),5,24,2249,8559.0,0.0,0.0,2.0,0.0,0.0,0.0
7790670052388,Salchicha Clásica Flow Pack Patyviena 6 Un,Patyviena,Frescos,Fiambrería,Salchichas,5,24,2466,2891.53857421875,2.0,0.0,0.0,0.0,0.0,0.0
7790670052418,Salchichas Vienísima 12 Un,Vienísima,Frescos,Fiambrería,Salchichas,5,24,1986,6260.0,0.0,0.0,1.0,0.0,0.0,0.0
7790670052401,Salchichas Vienísima 6 Un,Vienísima,Frescos,Fiambrería,Salchichas,5,24,2475,3279.0,0.0,2.0,0.0,0.0,2.0,0.0
