necesidad,canasta,ean,desc,marca,rubro,categoria,subcategoria,unidad_fisica,qty_fisica,presentacion,cantidad,precio_unitario,precio_envase,cadenas,provincias,sucursales,cba,confiable
Pan rallado,Media,7790070433169,Pan Rallado Fortificado Preferido 500 Gr,Preferido,Almacén,Panificados,Pan Rallado y Rebozadores,kg,0.5,0.5,1.0,3944.3,1972.2,5,24,2141,,True
Pan rallado,Ejecutiva,7790070433251,Rebozador Crunch Fortificado Preferido 450 Gr,Preferido,Almacén,Panificados,Pan Rallado y Rebozadores,kg,0.5,0.45,1.0,6888.9,3100.0,4,23,1545,,True
Pan rallado,Representativa,7790070433176,Pan Rallado Fortificado Preferido 1 Kg,Preferido,Almacén,Panificados,Pan Rallado y Rebozadores,kg,0.5,1.0,0.5,3800.0,3800.0,5,24,2118,,True
Dulce de leche,Popular,7790244001453,Dulce de Leche Tradicional Artesanal San Ignacio 400 Gr,San Ignacio,Frescos,Lácteos,Dulce de Leche,kg,0.45,0.4,1.0,9337.5,3735.0,5,24,1442,Dulces,True
Dulce de leche,Media,7790742067005,Dulce de Leche Repostero La Serenísima 400 Gr,La Serenísima,Frescos,Lácteos,Dulce de Leche,kg,0.5,0.4,1.0,10750.0,4300.0,5,24,2466,Dulces,True
Dulce de leche,Ejecutiva,7794820902943,Dulce de Leche Repostero Milkaut 400 Gr,Milkaut,Frescos,Lácteos,Dulce de Leche,kg,0.55,0.4,1.5,12375.0,4950.0,5,24,874,Dulces,True
Dulce de leche,Representativa,7790742625304,Dulce de Leche Clásico La Serenísima 400 Gr,La Serenísima,Frescos,Lácteos,Dulce de Leche,kg,0.45,0.4,1.0,9650.0,3860.0,5,24,2488,Dulces,True
Mermelada,Popular,7790580132163,Mermelada Durazno Arcor 454 Gr,Arcor,Almacén,Mermeladas y Dulces,Mermeladas,kg,0.35,0.454,1.0,7268.3,3299.8,5,24,2467,Dulces,True
Mermelada,Media,7793360131516,Mermelada de Durazno Bc La Campagnola 390 Gr,La Campagnola,Almacén,Mermeladas y Dulces,Mermeladas,kg,0.4,0.39,1.0,10666.7,4160.0,5,24,2463,Dulces,True
Mermelada,Ejecutiva,7793360131561,Mermelada Arándanos Bc La Campagnola 390 Gr,Bc La Campagnola,Almacén,Mermeladas y Dulces,Mermeladas,kg,0.45,0.39,1.0,14410.3,5620.0,4,23,2226,Dulces,True
