necesidad,canasta,ean,desc,marca,rubro,categoria,subcategoria,unidad_fisica,qty_fisica,presentacion,cantidad,precio_unitario,precio_envase,cadenas,provincias,sucursales,cba,confiable
Yerba mate,Representativa,7792710000182,Yerba Mate sin TACC Amanda 500 Gr,Amanda,Almacén,Infusiones,Yerbas,kg,1.5758999999999999,0.5,3.0,4920.0,2460.0,5,24,2434,Yerba,True
Cafe,Popular,7790150006320,Café Molido Clásico Bolsa La Virginia 250 Gr,La Virginia,Almacén,Infusiones,Café,kg,0.06,0.25,0.5,24449.3,6112.3,5,24,2429,Cafe,True
Cafe,Media,7790550022234,Café Molido Tostado Súper Cabrales 250 Gr,Cabrales,Almacén,Infusiones,Café,kg,0.16,0.25,0.5,53554.0,13388.5,5,24,2475,Cafe,True
Cafe,Ejecutiva,8445291082199,Café Instantáneo Origen Dolca 100 Gr,Dolca,Almacén,Infusiones,Café,kg,0.35,0.1,3.0,93950.0,9395.0,5,24,1874,Cafe,True
Cafe,Representativa,7790550000157,Café Molido Torrado en Bolsa Cabrales 250 Gr,Cabrales,Almacén,Infusiones,Café,kg,0.09269999999999999,0.25,0.5,29640.0,7410.0,5,24,2482,Cafe,True
Galletitas de agua,Popular,7790040144095,Galletitas Traviata 540 Gr,Traviata,Almacén,Galletitas,Galletitas Saladas,kg,1.4,0.54,2.5,6110.9,3299.9,5,24,2449,Galletitas de agua,True
Galletitas de agua,Media,7622201736033,Galletitas Clásicas Cerealitas 212 Gr,Cerealitas,Almacén,Galletitas,Galletitas Saladas,kg,1.3,0.212,6.0,9279.0,1967.1,4,24,2389,Galletitas de agua,True
Galletitas de agua,Ejecutiva,7798181510212,Galletitas Crackers Smams 150 Gr,Smams,Almacén,Galletitas,Galletitas Saladas,kg,1.1,0.15,7.0,22433.3,3365.0,4,24,2047,Galletitas de agua,True
Galletitas de agua,Representativa,7790040377806,Galletitas Original Criollitas Pack 3 300 Gr,Criollitas,Almacén,Galletitas,Galletitas Saladas,kg,1.2978,0.1,13.0,20445.9,2044.6,4,24,2380,Galletitas de agua,True
Galletitas dulces,Popular,7790040143364,Galletitas Surtido Diversión 400 Gr,Diversión,Almacén,Galletitas,Galletitas Dulces,kg,0.8,0.4,2.0,7482.6,2993.0,4,24,2374,Galletitas dulces,True
Galletitas dulces,Media,7622300829728,Galletitas Chocolate con Relleno de Limón Melba 120 Gr,Melba,Almacén,Galletitas,Galletitas Dulces,kg,1.0,0.12,8.0,12268.5,1472.2,4,24,2337,Galletitas dulces,True
Galletitas dulces,Ejecutiva,7622201735906,Galletitas con Chips Chocolate Pepitos 119 Gr,Pepitos,Almacén,Galletitas,Galletitas Dulces,kg,1.2,0.119,10.0,18646.7,2219.0,5,24,2482,Galletitas dulces,True
Galletitas dulces,Representativa,7790040143234,Galletitas Chocolinas Paquete 262 Gr,Chocolinas,Almacén,Galletitas,Galletitas Dulces,kg,0.6489,0.262,2.5,10235.8,2681.8,5,24,2462,Galletitas dulces,True
Pan de molde,Popular,7793890258752,Pan de Mesa Blanco en Rodajas Finas Lactal 460 Gr,Lactal,Almacén,Panificados,Pan de Molde,kg,0.6,0.46,1.5,9754.1,4486.9,4,23,2177,Pan,True
Pan de molde,Media,7793890258776,Pan de Mesa Salvado Chico Lactal 330 Gr,Lactal,Almacén,Panificados,Pan de Molde,kg,1.0,0.33,3.0,11939.4,3940.0,4,23,2105,Pan,True
Pan de molde,Ejecutiva,7793890261486,Pan Integral Bolsa Fargo 400 Gr,Fargo,Almacén,Panificados,Pan de Molde,kg,1.4,0.4,3.0,15062.5,6025.0,4,21,1924,Pan,True
Pan de molde,Representativa,7793890258769,Pan de Mesa Blanco Chico Lactal 315 Gr,Lactal,Almacén,Panificados,Pan de Molde,kg,3.128625,0.315,10.0,11428.6,3600.0,4,23,2177,Pan,True
Pan rallado,Popular,7792180004741,Pan Rallado Fortificado Mamá Cocina 500 Gr,Mamá Cocina,Almacén,Panificados,Pan Rallado y Rebozadores,kg,0.5,0.5,1.0,2883.8,1441.9,5,24,2131,,True
